,y
23540,1
7543,0
90892,0
96235,1
116268,0
2647,0
83729,1
97226,0
22291,0
31907,1
87472,1
98245,0
21447,1
41932,0
49758,0
98147,0
26360,0
25914,1
68845,1
40053,0
64476,0
55407,0
103126,0
42490,0
86928,0
16671,0
97938,0
94501,0
106121,0
56859,1
73674,0
109538,0
33627,0
36680,0
62022,1
79313,0
50657,0
29257,0
83544,0
59338,0
87466,1
38555,1
47029,0
15615,0
76271,0
94524,0
8190,0
59157,0
98442,0
23299,0
54161,0
14911,0
86550,1
43152,0
60372,0
85061,0
101487,0
76689,0
39163,0
79335,0
32329,0
47232,0
20556,0
14627,0
54822,0
94847,1
69344,0
35196,1
79321,0
51851,0
16400,1
8418,0
111638,0
23942,1
85331,1
26649,0
6988,1
23368,1
40815,0
6586,1
29745,0
4158,1
69375,0
82480,0
49651,1
100938,0
107387,0
45427,0
50413,1
23453,0
31478,0
40264,0
4978,0
5165,0
24623,0
73032,0
43947,1
51744,0
63703,0
59967,0
37408,0
75083,0
110309,0
42547,0
108733,0
20834,1
50960,0
4408,0
90117,1
1772,1
108858,0
21319,0
64046,0
63190,1
69053,1
25640,0
53578,0
66252,0
22700,0
57532,0
89673,0
113707,0
52479,0
50096,1
10433,0
93743,0
73511,0
70980,1
31714,0
96563,0
95108,0
79223,0
26992,0
13400,1
28717,0
64997,0
12509,0
113237,0
86782,0
71205,0
27081,0
14456,0
7944,1
49606,0
24501,0
90701,0
5804,0
22752,0
24578,0
20935,0
30219,0
17099,0
81470,0
71651,0
56481,1
43160,1
70445,0
73434,0
14981,0
51935,0
33358,0
110289,0
85628,0
93873,0
62183,0
15572,1
89231,0
81618,1
16730,0
3304,0
11838,0
83649,0
85940,0
10681,0
25283,0
54183,0
57350,0
36243,0
9837,1
37338,0
110513,1
77011,0
17122,0
38172,0
10439,1
72733,1
29845,0
106466,1
58940,0
76454,0
80810,1
482,0
22865,0
87284,0
86349,0
18881,0
32044,1
93746,0
11062,0
31386,0
38155,0
81441,0
116021,0
54149,0
17125,0
18661,0
106056,0
96691,0
25288,0
58804,0
71072,0
85746,0
76129,0
90985,0
83178,0
35837,0
14703,0
7896,1
99464,0
10891,0
68329,0
115273,0
52841,0
14460,1
103199,0
85227,0
92820,0
67201,1
47701,0
53348,0
45096,0
53375,0
75906,0
7295,0
64911,0
55021,0
102871,0
61439,0
53533,0
96170,0
75874,0
27786,0
100680,1
22726,0
98271,1
76970,0
97973,0
39813,0
11994,0
115385,0
36905,0
63942,1
100687,0
7357,0
105753,0
93877,0
52147,1
37536,0
19529,0
58210,0
34726,0
72060,1
38635,0
54148,0
17370,0
58424,0
28368,0
29206,0
40838,1
50475,1
82745,0
19105,0
94544,0
8819,0
127009,0
74667,0
67394,0
36963,0
94235,0
114002,0
22643,0
14126,0
105867,0
92816,0
86042,0
59167,0
35621,1
99862,0
86581,1
65300,1
51586,0
29669,0
91292,0
96529,0
41960,0
29259,0
40137,0
74635,0
33018,0
10176,0
110946,0
78241,0
74979,0
90318,0
76887,0
30291,0
60990,0
23254,0
107440,0
1191,1
110624,0
47811,0
29814,0
7562,0
95137,0
60276,0
1435,0
39411,0
40634,0
53595,0
60689,0
102110,0
28414,0
26499,0
116934,0
58910,0
78343,1
15584,1
20238,1
11543,0
66980,0
6322,0
74777,0
2598,0
90179,0
105191,0
25609,0
55674,0
32365,0
29860,0
30985,0
49289,0
44345,0
31662,0
33222,0
66428,1
13821,0
58388,0
41105,0
22694,0
112463,0
76436,0
68159,0
13104,0
97268,0
33902,0
80001,0
42906,0
72382,0
40824,0
38868,1
62060,0
72447,1
12459,1
98249,0
102805,0
68805,0
40523,0
102445,1
106353,1
69991,1
73502,1
11942,0
43545,1
55800,0
24057,1
87763,0
59364,0
66070,0
90007,1
54725,0
8173,0
55707,1
39212,0
106419,0
71286,0
69348,0
41429,0
68917,0
10400,1
97603,0
11657,0
14969,0
87802,0
79349,0
43946,0
58140,0
84636,0
33247,0
63156,0
54456,1
47528,0
1827,0
38374,1
17877,0
52170,0
80608,0
55806,0
29652,0
104196,0
47708,1
22619,0
37563,0
77248,0
113307,0
50146,0
62761,0
13396,1
8544,0
42235,1
22244,0
117026,0
4341,0
102045,1
19644,0
101941,0
58594,1
38373,1
64283,0
22745,0
10551,0
30480,0
46340,0
68551,0
46024,0
20671,0
57623,0
108535,0
17417,0
50593,0
29103,0
81431,0
13081,0
16622,0
44251,0
87036,0
41692,0
19806,0
1233,0
14459,0
100420,0
26603,0
70001,0
36306,0
42950,1
27424,0
40834,0
79198,0
4734,0
95778,1
15251,0
38585,0
77312,0
6065,1
82253,0
55722,1
68967,0
39967,0
95276,0
24066,0
38072,0
10655,1
90964,0
64147,1
36344,0
70734,0
68817,0
71898,0
100969,0
9141,0
56016,1
106487,1
20879,0
17968,0
44694,0
11314,0
42804,0
51720,0
76049,0
94108,0
98946,0
73012,0
63189,1
115606,0
61053,0
16533,0
22137,0
18961,0
27961,0
42745,0
25657,0
48855,0
108399,1
46587,0
49890,0
25537,0
24417,0
21896,0
58785,0
110603,0
23576,0
58810,0
21826,1
32983,0
20519,0
57518,0
104287,0
79084,0
63702,0
6348,0
31317,1
41879,0
93978,1
35192,0
86324,0
71722,0
57463,0
11969,0
3392,0
109526,1
8732,0
85682,0
42181,0
56260,0
5053,0
113689,0
41745,0
16866,1
46840,0
4536,1
88015,0
48889,0
108070,0
57419,1
93147,0
45072,0
69524,0
58942,0
111682,0
70957,0
72606,0
28334,1
35885,1
39886,0
81621,1
95759,0
4445,0
10074,0
38294,0
91117,0
17357,0
86988,0
12992,0
6824,1
45543,1
18854,0
2853,0
84430,0
14873,0
32759,0
74697,0
68617,1
74234,0
22666,0
67229,1
98729,0
41320,0
111634,0
23952,1
52659,0
105291,0
42454,0
8745,0
68478,0
90273,0
111593,0
49511,0
11997,0
35661,0
76529,0
37136,0
50567,0
43257,0
58747,0
63767,0
111862,0
5739,0
31946,0
63753,0
8717,0
121413,0
93748,0
29902,0
86512,1
28208,0
87807,0
14496,0
71543,1
107317,0
102252,1
37750,0
105560,0
82620,0
13370,0
99250,0
113299,0
2812,0
100948,0
57129,0
94130,0
99762,0
68710,0
36837,0
4687,0
61213,0
14586,1
35740,0
27873,0
12870,0
38545,1
8743,1
93908,0
21832,0
87266,0
98317,0
26726,0
10457,1
83979,1
32035,1
60679,0
28835,0
106312,0
94019,0
50515,0
12584,0
74837,0
29968,0
80473,0
5819,0
59836,0
58771,0
87755,0
65739,0
19107,0
58629,1
45839,1
103144,0
38858,0
60318,0
93592,1
19472,0
13986,0
66139,0
22001,0
85416,0
27111,0
22066,1
54831,0
71494,0
27578,1
31368,1
99529,0
50391,0
61039,0
65946,0
107757,0
2876,1
3238,0
63612,0
36227,0
115035,0
91557,0
93999,0
25598,1
18246,0
83356,1
7634,0
92452,0
4277,1
46087,0
40397,0
94360,0
22993,0
99067,0
1647,0
46257,1
10309,1
59767,0
106445,0
60626,0
51219,1
68404,1
716,0
82877,0
13096,1
89779,0
94411,1
100599,0
24805,0
95371,0
